Id,x,y,SLOPE_PERCENT,DS_AVGSLOPE,US_MAXSLOPE,TOTLENGTH_UCA,DRAINAGE_DENS,MEAN_MRVBF,UC_CV_PPT,UCWARMQT_PPT,CV_TEMP,MAXWARMP_TEMP,DS_MINCOLDP_TEMP,UC_SOLDEPTH,NONATVEG,UC_ROAD_DENS,TRECOV,DS_AVGRIPTRECOV,UC_RIP_TRECOV,UC_TWI,RIV,Gadbis
62020,1,1,1.7586,0.0797,3.6496,2.0098,1.6969,0.7448,20.8119,133.7342,1.58,28.2326,2.5974,0.9,0.942,1.077,0,0.3786,0.1372,9.3569,1,0
62038,1,1,9.5012,0.2236,9.5012,1.255,1.8675,0.344,29.5179,186.0774,1.5801,24.7651,2.601,0.9,0,4.4979,1,0.3927,1,9.4014,1,0
62044,1,1,15.9082,1.9401,15.9082,0.3763,2.3755,0.0252,26.7197,157.5909,1.593,26.7326,2.7938,0.9,0.0202,0.8445,0.9798,0.3754,0.9411,8.1357,1,0
62051,1,1,6.4968,8.2076,7.6669,0.6763,4.0064,0.2882,23.9028,139.8199,1.6,28.0953,2.8594,0.9,0.3815,0,0.2015,0.329,0.4358,9.0957,1,0
62061,1,1,6.9055,0.1157,6.9055,0.6742,2.4752,0.2383,20.652,140.8326,1.57,27.3999,2.5802,0.9,0.8825,0.145,0.0073,0.3601,0,8.7636,1,0
62076,1,1,2.1575,0.0978,24.0202,5.4109,2.2381,0.7432,20.4469,140.6109,1.57,27.7426,2.5789,0.9,0.8995,1.1601,0.0317,0.3609,0.1712,9.0521,1,0
62083,1,1,6.8438,0.809,20.8373,1.78,2.5827,0.3681,26.0708,152.9129,1.6,27.9439,2.8351,0.9,0.3374,0.5208,0.5204,0.3445,0.7844,8.3758,1,0
62084,1,1,13.9857,1.3581,15.9082,0.7436,2.1767,0.0426,26.6721,157.1815,1.5981,27.4926,2.8207,0.9,0.1684,0.3916,0.7474,0.3518,0.8217,8.1881,1,0
62091,1,1,0.8618,0.0816,33.3916,79.4225,2.1015,0.7788,20.5442,146.7067,1.57,28.0949,2.5947,0.9,0.6788,1.0016,0.1563,0.3784,0.2589,9.3414,1,0
62096,1,1,4.3172,0.1047,6.9055,1.4836,2.5214,1.6692,20.6927,141.2944,1.57,27.7696,2.5797,0.9,0.5652,0.5214,0.2174,0.3607,0.0365,8.779,1,0
62101,1,1,15.7161,1.9324,15.9082,0.1707,1.1757,0.0037,26.9945,159.5014,1.5916,26.622,2.7918,0.9,0,0,1,0.3778,1,8.061,1,0
62106,1,1,2.8882,1.0626,48.1767,29.9233,2.1239,0.2307,28.6335,179.3448,1.5972,27.6517,2.7845,0.9,0.3046,2.2175,0.6953,0.3917,0.9939,9.1924,1,0
62125,1,1,14.6909,0.1853,15.7419,0.2397,1.742,0.0769,27.625,174.9128,1.58,25.5198,2.6199,0.9,0.186,0.9764,0.8139,0.3748,0.6744,9.1362,1,0
62130,1,1,0.205,0.0772,3.6496,0.5095,7.5813,3.1449,20,130.1786,1.575,28.3,2.5975,0.9,0.75,0,0.2203,0.3792,0.3814,11.9057,1,0
62139,1,1,5.9728,0.1142,6.9055,0.7086,2.3811,0.1976,20.7917,142.0067,1.57,27.321,2.5801,0.9,0.9113,0.4803,0.0107,0.3601,0.0247,8.6162,1,0
62140,1,1,6.0747,0.093,6.3731,0.1183,1.0024,0.3474,20.1898,133.9831,1.5701,28.0061,2.5955,0.9,0.0847,0,0,0.3769,0,9.1919,1,0
62141,1,1,1.0909,0.0836,6.3731,9.14,2.049,1.8909,20.5615,137.9318,1.57,28.1699,2.5947,0.9,0.4552,0.9453,0.112,0.3775,0.0871,9.5139,1,0
62142,1,1,15.7419,0.1868,15.7419,1.0777,1.8328,0.1368,28.8075,182.2524,1.58,25.0319,2.6195,0.9,0,0.0571,1,0.3753,1,8.931,1,0
62166,1,1,20.5799,1.7702,48.1767,0.597,2.0757,0.0358,26.1919,155.3978,1.5923,26.8833,2.7699,0.9,0.096,2.6213,0.9041,0.395,0.9845,8.2718,1,0
62167,1,1,1.6683,0.0913,24.0202,2.138,2.144,1.3889,19.4244,137.9487,1.57,27.7799,2.5756,0.9,0.9452,0.0589,0.043,0.3627,0.0383,10.2818,1,0
62178,1,1,5.3959,0.0885,54.8854,0.8479,2.3683,0.2376,20.8827,136.5251,1.5764,27.8373,2.5973,0.9,0.7899,0.1265,0.0883,0.378,0.2569,8.7956,1,0
62238,1,1,2.8573,0.0818,33.3916,2.8003,2.0823,0.7234,20.2347,134.3293,1.5723,27.9266,2.5908,0.9,0.7754,1.5296,0.0651,0.3765,0.0894,9.5859,1,0
62239,1,1,0.8147,0.0843,15.1212,20.3382,2.3744,1.207,22.1039,138.6718,1.58,28.2204,2.6031,0.9,0.6054,0.9757,0.2775,0.3773,0.2107,9.4381,1,0
62240,1,1,2.7816,0.0873,15.1212,0.9357,3.1441,0.6034,20.9435,134.3683,1.58,28.1008,2.603,0.9,0.8777,2.0051,0.0322,0.3766,0.0344,9.5132,1,0
62262,1,1,4.1776,0.6601,10.0383,0.9125,1.7836,0.373,24.5723,142.5285,1.6,28.0394,2.8366,0.9,0.3355,1.6008,0.4567,0.3184,0.2718,8.8441,1,0
62263,1,1,1.1624,0.0962,24.0202,26.4145,2.4614,2.0129,20.5614,146.1678,1.57,27.7836,2.5789,0.9,0.8903,1.3306,0.0445,0.3609,0.323,9.3592,1,0
62277,1,1,7.6669,8.7927,7.6669,0.9797,2.5809,0.2417,24.333,141.627,1.6,27.9368,2.8254,0.9,0.5458,0,0.3678,0.3186,0.415,9.0208,1,0
62283,1,1,3.6072,1.1604,48.1767,25.8094,2.1035,0.3177,28.7889,180.856,1.5924,27.5611,2.7763,0.9,0.2801,2.2519,0.7199,0.4114,0.9974,9.2587,1,0
62285,1,1,12.565,3.9781,12.565,0.9011,2.1193,0.2374,29.9464,189.4675,1.58,24.5836,2.587,0.9,0,1.9904,1,0.5212,1,9.2129,1,0
62290,1,1,1.8866,0.0963,7.4743,1.1532,1.4985,0.5168,20.736,140.6736,1.57,27.5562,2.5898,0.9,0.7204,0.0974,0.0458,0.375,0.0703,8.9352,1,0
62302,1,1,13.6897,1.3457,15.9082,0.4087,1.6401,0.0325,26.0321,151.9888,1.5939,27.1421,2.8142,0.9,0.0289,0.9036,0.9519,0.3634,0.7982,8.1975,1,0
62312,1,1,5.9,0.8784,6.4885,0.1831,1.0501,0.234,24.8257,143.4014,1.5998,27.7486,2.8262,0.9,0.3624,0,0.5343,0.3063,0.0278,8.8301,1,0
62319,1,1,10.7633,0.1368,13.0328,0.4053,1.8556,0.0759,24.6264,153.3187,1.5824,26.8951,2.6207,0.9,0.6484,0.4509,0.2894,0.3743,0.5612,8.2266,1,0
62320,1,1,13.0328,0.1402,13.0328,0.1383,1.1524,0.0079,25.1567,158.3867,1.58,26.5527,2.6205,0.9,0.58,0,0.4067,0.3743,0.5454,8.1275,1,0
62325,1,1,5.3322,0.1018,7.4743,0.6467,2.0754,0.2206,20.9345,142.6085,1.57,27.32,2.5896,0.9,0.5315,0,0.0064,0.3748,0.0067,8.5647,1,0
62328,1,1,10.2514,0.1519,10.2514,0.3687,2.4515,0.1201,24.7739,153.2739,1.5893,26.9077,2.6213,0.9,0.6037,0,0.3803,0.3732,0.0698,8.6253,1,0
62329,1,1,6.6785,0.1466,10.2514,0.3783,1.4438,0.1475,24.5405,152.0229,1.5884,26.9856,2.6213,0.9,0.8244,1.7324,0.1756,0.3731,0,8.7315,1,0
62334,1,1,3.8625,0.1008,4.2424,0.9701,2.1145,0.5427,22.0035,138.9233,1.58,27.8261,2.6008,0.9,0.0898,0,0.0052,0.3745,0.0077,9.2584,1,0
62339,1,1,4.2424,0.1014,4.2424,0.5404,2.5348,0.3688,22.1201,139.5497,1.58,27.778,2.6008,0.9,0.2908,0,0.0375,0.3745,0,9.1899,1,0
62342,1,1,1.5668,0.0818,42.4264,54.7381,2.119,1.0396,28.1004,173.0586,1.6066,28.385,2.6204,0.9,0.7425,2.3225,0.2446,0.3895,0.8939,9.1656,1,0
62344,1,1,7.8925,1.3253,48.1767,3.9256,2.2325,0.0973,27.6959,170.0196,1.5901,27.0508,2.7674,0.9,0.1065,1.8627,0.8934,0.412,0.9771,8.7299,1,0
62345,1,1,10.0185,1.6472,25.8119,2.7367,2.5043,0,28.7299,178.7204,0,0,2.6649,0.9,0,1.2856,0,0.3967,1,8.7638,1,0
62349,1,1,1.5001,0.095,4.2424,1.5388,2.2899,0,22.0405,139.122,0,0,2.6003,0.9,0,0,0,0.3751,0.0056,9.2366,1,0
62350,1,1,20.1567,2.3083,25.8119,2.1356,2.4867,0.0174,28.905,180.0489,1.5842,25.8613,2.635,0.9,0,1.3612,1,0.4183,1,8.8991,1,0
62355,1,1,0.0482,0.0482,0.4072,0.7546,4.4074,5.1618,20,131.7079,1.57,28.3,3.2,0.9,0.0714,0.9543,0.9286,0.9286,0.4921,11.2128,1,0
62360,1,1,9.2323,1.4594,48.1767,0.139,1.3365,0.2342,25.2885,149.8692,1.59,27.27,2.7642,0.9,0.0885,0.8982,0.9116,0.4164,0.5454,9.2689,1,0
62361,1,1,0.1056,0.1056,0.1056,0.2907,4.1526,1.8526,20,131.2229,1.57,28.2634,3.2,0.9,0.6229,2.5242,0.2914,0.1707,0.1707,11.0372,1,0
62372,1,1,6.1706,0.1106,6.2572,0.05,0.4845,0.3092,20.2171,138.9651,1.57,27.5283,2.5802,0.9,0.907,1.0266,0.0388,0.3611,0.6,9.1009,1,0
62373,1,1,1.9029,0.1008,6.9055,3.5179,2.0965,0.7298,20.4293,140.7068,1.57,27.6767,2.5796,0.9,0.8668,1.3003,0.1272,0.3607,0.2479,9.0616,1,0
62374,1,1,4.0925,0.6564,10.0383,2.2897,2.7415,0.4974,25.4464,147.8065,1.6,28.0323,2.8372,0.9,0.7262,0.4521,0.2191,0.3173,0.683,8.564,1,0
62380,1,1,3.8205,0.0873,42.4264,0.3231,1.7486,0.2993,23.9935,139.4762,1.6,28.139,2.6206,0.9,0.5368,0,0.4523,0.3897,0.5333,9.1559,1,0
62385,1,1,3.6953,0.0983,4.2424,0.0824,0.7835,0.3776,21.8935,138.8213,1.58,27.8403,2.6048,0.9,0.5171,0,0.0684,0.3751,0,9.522,1,0
62386,1,1,21.405,2.9668,23.0323,0.7543,2.5482,0.2277,29.4986,185.0473,1.5801,24.9014,2.5931,0.9,0,0.9301,1,0.4383,1,9.2256,1,0
62387,1,1,6.4885,0.9029,6.4885,0.2397,1.5729,0.1494,25.0315,144.7402,1.5992,27.6646,2.825,0.9,0.4882,4.2354,0.4724,0.3161,0.2632,8.493,1,0
62401,1,1,7.4743,0.108,7.4743,0.159,1.2421,0.1049,21.1438,143.7375,1.57,27.2522,2.5901,0.9,0.8344,0,0,0.3744,0,8.5576,1,0
62418,1,1,20.6475,2.0409,25.8119,0.1066,0.7612,0.0066,27.3143,166.9114,1.5845,26.1446,2.7374,0.9,0,3.2867,1,0.4338,1,8.1682,1,0
62423,1,1,3.852,1.2601,48.1767,25.3773,2.1107,0.1583,28.8688,181.5463,1.59,27.3701,2.765,0.9,0.1028,2.2323,0.8972,0.4314,0.9995,9.2583,1,0
62428,1,1,5.3736,0.1026,7.0044,1.0247,1.6051,0.1548,20.8979,142.4461,1.57,27.3146,2.5896,0.9,0.5727,0,0.0295,0.3738,0.1102,8.4233,1,0
62430,1,1,1.2376,0.0854,6.3731,8.5837,2.0525,1.5733,20.5933,138.3122,1.57,28.1271,2.5956,0.9,0.295,0.9,0.1032,0.3774,0.0771,9.4726,1,0
62433,1,1,1.9694,0.0946,24.0202,1.0771,3.6193,1.7543,19.1129,137.5672,1.5694,27.7116,2.5772,0.9,0.9126,1.0482,0.0672,0.3617,0.0552,11.3801,1,0
62438,1,1,2.3797,0.1044,6.2572,2.8471,2.0727,0.8645,20.5102,141.2295,1.57,27.6534,2.5803,0.9,0.6214,1.1982,0.3689,0.3614,0.2428,8.9721,1,0
62444,1,1,5.4529,0.0938,6.3731,0.2514,1.6369,0.2554,20.4063,135.3724,1.5703,27.9284,2.5964,0.9,0.0755,0,0.1016,0.3769,0.0862,9.3037,1,0
62447,1,1,2.715,0.0928,6.2236,1.9992,2.2864,1.3429,21.9149,138.8751,1.58,28.0432,2.6043,0.9,0.6749,0,0,0.3756,0.0045,9.4161,1,0
62456,1,1,15.7052,0.1639,18.4557,2.4128,2.2424,0.0783,27.4978,173.1141,1.5848,26.6695,2.6212,0.9,0.2957,1.1869,0.7032,0.3744,0.8694,8.8592,1,0
62460,1,1,0.4072,0.2277,0.4072,0.1936,2.1411,1.5544,20,131.9513,1.57,28.2243,3.1947,0.9,0.5929,1.5301,0.3362,0.626,0.3235,10.7886,1,0
62461,1,1,23.0323,3.0229,23.0323,0.6867,2.8901,0.2953,29.7054,186.5152,1.58,24.8266,2.5924,0.9,0,3.4146,1,0.4383,1,9.2939,1,0
62468,1,1,6.2572,0.1144,6.2572,0.7233,3.8969,0.2276,20.8944,142.9547,1.57,27.2463,2.5807,0.9,0.903,0.2455,0.0194,0.3609,0.0634,8.5903,1,0
62469,1,1,4.7761,0.141,18.4557,7.5541,2.0615,0.8848,27.7183,175.6995,1.5805,27.4143,2.6217,0.9,0.6667,1.4725,0.3333,0.3738,0.8693,8.9183,1,0
62482,1,1,2.0058,0.0871,6.2236,0.7204,1.9967,0.886,21.0322,135.5266,1.58,28.102,2.6029,0.9,0.3093,1.6555,0.0244,0.3765,0.0677,10.0884,1,0
62483,1,1,5.0117,0.0993,5.8192,0.0783,0.7275,0.2874,24.3903,140.8587,1.6,27.9732,2.621,0.9,0.5279,0,0.4647,0.3901,0.087,9.2607,1,0
62489,1,1,4.5323,0.137,18.4557,1.0284,2.2088,0.4718,24.5447,151.8325,1.5851,27.3436,2.6216,0.9,0.8722,1.7921,0.1128,0.3737,0.0461,8.7804,1,0
62491,1,1,2.6509,0.1342,18.4557,7.7614,2.0489,0.5863,27.6055,174.8763,1.58,27.4231,2.6217,0.9,0.9038,1.4244,0.0962,0.3738,0.8526,8.9232,1,0
62492,1,1,5.8192,0.1005,5.8192,0.1783,1.516,0.2088,24.7517,142.5306,1.6,27.8568,2.621,0.9,0.5068,0,0.4931,0.39,0.0323,8.7517,1,0
62500,1,1,9.7712,0.1484,18.4557,0.0707,0.6878,0.2457,24.3385,151.4125,1.58,27.0856,2.6215,0.9,0.9883,0,0.0039,0.3733,0,8.9386,1,0
62502,1,1,0.8899,0.0866,6.3731,7.7846,1.9997,1.6505,20.6214,138.6499,1.57,28.0839,2.5966,0.9,0.7273,0.7221,0.014,0.3769,0.0624,9.4485,1,0
62503,1,1,1.8236,0.0914,6.2236,0.8408,1.9481,1.5852,21.6562,138.5375,1.58,28.0864,2.6044,0.9,0.6699,0,0.0291,0.3757,0.0089,9.189,1,0
62513,1,1,2.6692,0.0856,33.3916,0.6749,2.2465,1.2398,20,133.3475,1.57,28.0521,2.5956,0.9,0.5992,0.5775,0.0333,0.3779,0.0589,10.4698,1,0
62519,1,1,1.1248,0.0979,24.0202,16.1884,2.4386,1.368,20.485,145.7467,1.57,27.7142,2.5797,0.9,0.7861,1.3421,0.1178,0.3608,0.356,9.5036,1,0
62523,1,1,5.8993,0.1495,18.4557,5.073,1.9663,0.3993,27.8223,176.875,1.58,27.3368,2.6217,0.9,0.8966,1.5883,0.1035,0.3734,0.8773,8.939,1,0
62524,1,1,17.1377,0.1745,18.4557,0.7384,2.1415,0.0578,25.6636,160.4687,1.5804,26.4744,2.621,0.9,0.1705,1.6742,0.826,0.3738,0.6379,8.5001,1,0
62525,1,1,1.8154,0.0844,42.4264,52.6608,2.1149,1.4024,28.2788,174.3782,1.6,28.2623,2.6207,0.9,0.8045,2.3386,0.1955,0.3899,0.9132,9.1322,1,0
62526,1,1,5.3629,0.0921,42.4264,0.3615,1.5661,0.3157,24.5615,141.6846,1.6,28.25,2.621,0.9,0.2857,0,0.7143,0.3905,0.197,9.0138,1,0
62531,1,1,1.0697,0.0841,15.1212,8.1982,2.1459,1.792,21.3192,137.2737,1.5761,28.2062,2.6022,0.9,0.8446,1.3569,0.0242,0.377,0.1264,9.8256,1,0
62532,1,1,0.43,0.0831,15.1212,21.7877,2.4095,3.2464,22.0248,138.4007,1.5778,28.29,2.6022,0.9,0.8571,1.0423,0.1227,0.3772,0.2044,9.4921,1,0
62534,1,1,3.5157,1.3407,48.1767,13.0044,1.9659,0.1658,28.854,181.1311,1.59,27.3132,2.7538,0.9,0,2.7175,1,0.4517,1,9.2992,1,0
62538,1,1,5.58,0.0952,6.3731,0.577,2.4657,0.3592,20.5419,136.0274,1.5704,27.8824,2.5973,0.9,0.094,0,0.0615,0.3764,0.0882,9.4326,1,0
62542,1,1,1.5205,0.1067,6.2572,1.9624,1.7112,0.5954,20.4663,141.053,1.57,27.5568,2.5809,0.9,0.7703,0.9913,0.1352,0.3615,0.2515,9.0015,1,0
62549,1,1,6.639,0.9057,10.0383,0.2866,1.9156,0.1134,25.2353,146.3717,1.5966,27.5505,2.8241,0.9,0.1337,0,0.8476,0.3189,0.3542,8.4449,1,0
62553,1,1,0.0982,0.0732,0.4072,0.4523,6.0146,3.6918,20,131.4681,1.57,28.2761,3.1989,0.9,0.5372,0.3333,0.4361,0.7078,0.4871,11.7071,1,0
62554,1,1,0.581,0.0823,33.3916,78.4062,2.1017,0.6325,20.5512,146.888,1.57,28.0706,2.5956,0.9,0.4945,0.9968,0.1249,0.3783,0.2594,9.3305,1,0
62564,1,1,20.4936,2.0011,26.3819,0.368,2.5915,0.0116,26.9437,160.3352,1.59,26.5831,2.7314,0.9,0,2.9606,1,0.4706,1,8.3645,1,0
62569,1,1,6.0874,0.1208,6.0874,0.317,2.4014,0.1538,20.8667,142.7424,1.57,27.2685,2.5818,0.9,0.9424,0.3696,0.0182,0.3611,0.1064,8.4788,1,0
62572,1,1,2.8998,0.1112,6.0874,1.4144,1.7274,0.3892,20.6238,141.7142,1.57,27.3935,2.5815,0.9,0.7579,1.118,0.1074,0.3616,0.2216,8.8935,1,0
62573,1,1,1.3444,0.082,54.8854,3.3097,1.9144,0.5344,20.5268,135.6652,1.5713,28.1256,2.5984,0.9,0.5986,0.5154,0.0798,0.3776,0.1342,9.2124,1,0
62578,1,1,3.5953,0.1035,24.0202,0.2631,0.9952,0.5258,19.9758,138.8729,1.57,27.5794,2.5804,0.9,0.941,3.368,0.0287,0.3603,0,9.5987,1,0
62581,1,1,5.2298,0.0993,6.2236,0.3673,1.7456,0.4409,21.7586,138.7452,1.58,27.8563,2.605,0.9,0.462,0,0,0.3751,0,9.1339,1,0
62582,1,1,5.6138,0.105,7.4743,0.4514,1.692,0.185,20.8516,141.2594,1.57,27.3991,2.5902,0.9,0.7496,0,0.006,0.3744,0.0088,8.7274,1,0
62585,1,1,3.9723,0.1174,6.0874,0.7608,1.5314,0.941,20.6103,141.81,1.57,27.4959,2.5821,0.9,0.8163,1.298,0.0816,0.3612,0.1598,8.9008,1,0
62587,1,1,5.1267,0.1255,5.1267,0.2514,1.952,0.3247,20.6832,141.5776,1.57,27.345,2.5825,0.9,1,0,0,0.3606,0,8.8388,1,0
62592,1,1,0.996,0.0829,15.1212,0.8634,1.5619,1.1076,20.3632,132.7923,1.5772,28.2049,2.6012,0.9,0.9124,1.7132,0.0556,0.3772,0.0491,10.3374,1,0
62596,1,1,5.0903,0.7328,20.8373,4.1783,2.0244,0.1347,26.6167,157.5607,1.5984,27.7303,2.8309,0.9,0.2474,1.8658,0.7144,0.3507,0.9658,8.33,1,0
62604,1,1,25.8119,2.5103,25.8119,0.5811,2.4834,0.0128,28.0872,173.8444,1.5822,25.6877,2.6325,0.9,0,1.0084,1,0.4183,1,8.2671,1,0
62608,1,1,0.8211,0.0826,15.1212,30.6306,2.347,3.9287,21.789,137.9819,1.57,28.2792,2.6013,0.9,0.8599,1.1194,0.0891,0.3774,0.184,9.6243,1,0
62609,1,1,5.3766,0.8531,10.0383,1.2871,2.354,0.4098,25.8925,150.2509,1.6,27.8343,2.8294,0.9,0.1159,0.0578,0.7768,0.336,0.9128,8.3541,1,0
62618,1,1,2.0934,0.0851,4.9506,0.2349,1.3076,0.5424,20.5857,135.7283,1.57,27.9354,2.5992,0.9,0.5947,0,0.0378,0.377,0,9.1433,1,0
62619,1,1,1.8686,0.0887,6.2236,3.736,2.3839,1.3179,21.7078,138.3155,1.58,28.0868,2.6037,0.9,0.1332,0.3353,0.0383,0.3762,0.0231,9.5405,1,0
62620,1,1,1.2505,0.0859,6.2236,6.5854,2.1498,1.2747,21.4791,137.9805,1.578,28.1512,2.603,0.9,0.8638,1.2387,0.0698,0.3767,0.1426,9.6455,1,0
62632,1,1,1.0624,0.0875,6.2236,2.4514,1.782,2.4874,21.2643,137.8817,1.58,28.2,2.6038,0.9,0,2.2844,1,0.3776,0.3188,9.7152,1,0
62633,1,1,4.7114,1.4569,26.3819,12.4315,1.948,0.2351,28.9473,182.0497,1.59,27.4961,2.747,0.9,0,2.7261,1,0.4706,1,9.3271,1,0
62634,1,1,20.506,2.0919,26.3819,0.1866,1.2405,0.0155,26.758,159.4574,1.5894,26.6559,2.7268,0.9,0,3.7126,1,0.4882,1,8.4742,1,0
62646,1,1,18.4557,0.1975,18.4557,0.5418,1.9862,0.0201,27.7214,176.2903,1.58,25.4635,2.6199,0.9,0.0029,1.5808,0.997,0.3749,1,8.5725,1,0
62652,1,1,2.3602,0.091,4.644,0.3183,2.2103,1.1594,21.0083,136.1528,1.58,28.0933,2.6045,0.9,0.1778,2.8188,0.0279,0.3773,0.1515,10.2157,1,0
62664,1,1,20.0516,2.1027,20.8373,0.5701,1.9823,0.018,27.3547,162.8331,1.5896,26.4324,2.7724,0.9,0,2.8932,1,0.4257,1,8.2659,1,0
62665,1,1,20.8373,2.133,20.8373,0.09,0.7812,0.0032,27.1007,160.8889,1.5888,26.5813,2.7752,0.9,0,0,1,0.4257,1,8.0164,1,0
62666,1,1,6.3731,0.1058,6.3731,0.3438,2.4773,0.2611,21.1758,138.8127,1.571,27.6622,2.5988,0.9,0.245,0,0.1153,0.3757,0.1351,9.0031,1,0
62667,1,1,0.124,0.0801,54.8854,1405.1822,2.0536,2.7444,21.6867,190.4604,1.5718,28.2734,2.5985,1.0836,0.6632,1.7051,0.2517,0.3779,0.6858,9.3118,1,0
62671,1,1,0.5687,0.0814,15.1212,31.7759,2.3277,0.3637,21.7251,137.7515,1.57,28.2449,2.6004,0.9,0.839,1.1395,0.1526,0.3777,0.1807,9.6538,1,0
62672,1,1,0.4647,0.0807,54.8854,39.5714,2.436,1.4225,21.5411,137.449,1.57,28.28,2.5994,0.9,0.7333,1.1531,0.2334,0.3778,0.1768,9.7395,1,0
62676,1,1,4.9261,0.1035,6.3731,0.1666,1.1134,0.4158,20.8957,137.7326,1.57,27.7992,2.5989,0.9,0.1417,0,0.0508,0.3755,0,9.3117,1,0
62679,1,1,14.579,0.1707,18.4557,4.1532,1.8875,0.1106,28.2211,179.9149,1.58,26.7637,2.6213,0.9,0.3259,1.586,0.6685,0.374,0.9577,9.0006,1,0
62685,1,1,2.8744,1.5042,26.3819,12.1083,1.9528,0.2712,29.0201,182.774,1.59,27.4431,2.7398,0.9,0,2.7157,1,0.4882,1,9.3453,1,0
62693,1,1,9.2422,1.1886,10.0383,0.1473,1.2653,0.0801,26.0584,151.4021,1.5925,27.2364,2.8112,0.9,0,0,1,0.3625,1,8.1195,1,0
62694,1,1,4.0859,0.1131,6.0874,0.2183,1.2127,0.2976,20.1178,139.94,1.57,27.4453,2.5815,0.9,0.8111,0,0.0133,0.3611,0.098,9.0566,1,0
62697,1,1,0,0.08,54.8854,1363.2346,2.0425,3.7868,21.6917,191.8022,1.57,28.3,2.5994,1.0882,0.48,1.7199,0.44,0.3778,0.7009,9.299,1,0
62701,1,1,11.8661,1.3848,20.8373,0.825,1.9061,0.0665,27.1562,161.3549,1.59,27.3627,2.8023,0.9,0.04,2.2145,0.9599,0.4027,1,8.2228,1,0
62702,1,1,5.8994,0.9481,20.8373,2.5688,1.9449,0.1023,27.2956,162.801,1.5925,27.4747,2.8171,0.9,0.2865,1.7354,0.691,0.3778,1,8.2652,1,0
62704,1,1,0.7407,0.7407,0.7407,0.099,5.2664,5.7403,20,132,1.57,28.3,3.2,0.9,1,0,0,0,0,11.9025,1,0
62707,1,1,6.2236,0.1009,6.2236,0.3321,1.8452,0.3387,21.6867,138.7889,1.58,27.8411,2.605,0.9,0.5756,0,0,0.3751,0,9.0314,1,0
62711,1,1,1.3746,0.0887,6.3731,7.0627,1.961,1.1169,20.6364,138.9137,1.57,28.0178,2.5974,0.9,0.388,0.7052,0.108,0.3766,0.0605,9.4334,1,0
62712,1,1,4.7768,0.096,6.3731,0.9635,2.4185,0.4773,20.8112,137.5402,1.57,27.9498,2.5982,0.9,0.0691,0,0.0473,0.3761,0.0793,9.3784,1,0
62728,1,1,1.6872,0.0845,4.9506,1.9517,1.786,1.0709,20.6515,136.8012,1.57,28.1308,2.5993,0.9,0.2664,0,0.0608,0.3772,0.0851,9.0976,1,0
62729,1,1,1.6665,0.0911,6.3731,5.7364,1.9101,0,20.6556,139.3988,0,0,2.5934,0.9,0,0.6051,0,0.376,0.051,9.3797,1,0
